model,epoch,train_huber,validation_huber
ANN,1,0.3208583995546018,0.43118882179260254
ANN,2,0.3089092270040878,0.43040594458580017
ANN,3,0.30861918265806293,0.429516077041626
ANN,4,0.30853892163464025,0.4295237064361572
ANN,5,0.3083326705145337,0.4296995997428894
ANN,6,0.30832359517475966,0.430142343044281
ANN,7,0.3082333985557309,0.429760605096817
ANN,8,0.3081813779052742,0.4308716058731079
ANN,9,0.30824849824599876,0.42973652482032776
ANN,10,0.30814156573949303,0.42964380979537964
ANN,11,0.30801515042197936,0.42967408895492554
ANN,12,0.3081185241271997,0.43023937940597534
ANN,13,0.30798156438348534,0.4300183653831482
QINN-MPS,1,0.309232675607854,0.4287089407444
QINN-MPS,2,0.3090720442179684,0.4287847876548767
QINN-MPS,3,0.3090213600355764,0.42887014150619507
QINN-MPS,4,0.3089770883503243,0.428899347782135
QINN-MPS,5,0.3089273046778092,0.42897483706474304
QINN-MPS,6,0.30889173102088474,0.42896080017089844
QINN-MPS,7,0.30884409374997573,0.4291475713253021
QINN-MPS,8,0.30880898304613047,0.42917871475219727
QINN-MPS,9,0.30870150802531254,0.42952868342399597
QINN-MPS,10,0.30867611033625475,0.42936933040618896
QINN-MPS,11,0.3085282358569003,0.430166095495224
