condition,year,metric,n_seeds,mean,standard_deviation,ci95_lower,ci95_upper,minimum,maximum
ANN signal,2019,period_return,10,0.14590838452897686,0.09501944317655646,0.077940292045306,0.21387647701264773,0.004157449943454905,0.2817185462986165
ANN signal,2019,sharpe,10,1.3860048447031201,0.8571099483285032,0.7729079217036889,1.9991017677025513,0.13207911481519796,2.438343567399155
ANN signal,2019,max_drawdown,10,-0.1115157136170239,0.07521785342782279,-0.16531958624871296,-0.05771184098533486,-0.25105593496879386,-0.04472498128735869
ANN signal,2019,annualized_turnover,10,1.141969995943136,0.24755509451714602,0.9648920527722735,1.3190479391139984,0.6919230733245232,1.5624766170317175
ANN signal,2019,total_cost,10,1173.0967200702667,262.35736118040836,985.4306088792321,1360.7628312613012,701.8716508293152,1630.4955606303215
ANN signal,2020,period_return,10,0.29659606758767454,0.17913106659269298,0.16846232470467404,0.42472981047067504,0.04649307592409113,0.6497799505491062
ANN signal,2020,sharpe,10,0.9021361323199084,0.37193592494911604,0.6360876847619847,1.168184579877832,0.3081689147693724,1.5480200633300096
ANN signal,2020,max_drawdown,10,-0.24446851889470178,0.036855004486247685,-0.27083116920778444,-0.21810586858161912,-0.32055102220222476,-0.190228046613797
ANN signal,2020,annualized_turnover,10,0.3648392722443784,0.322390322180725,0.13423115140847106,0.5954473930802857,0.0,0.7284949229700134
ANN signal,2020,total_cost,10,425.60948248796467,375.69331316345006,156.87334806184526,694.3456169140841,0.0,844.20245013237
Base FinRL,2019,period_return,10,0.1786758892288336,0.08499647569206925,0.11787729761963778,0.2394744808380294,0.05348914608743782,0.3431305876978601
Base FinRL,2019,sharpe,10,1.5167059143147452,0.5961449546337002,1.0902791320094785,1.943132696620012,0.4479696605040056,2.1942372869201963
Base FinRL,2019,max_drawdown,10,-0.08253098948640003,0.03668808325900435,-0.10877423984267931,-0.05628773913012075,-0.14557465279696125,-0.03394503147640082
Base FinRL,2019,annualized_turnover,10,1.1371446323519498,0.1829892936881404,1.0062510718223745,1.2680381928815252,0.9824418613128032,1.489036393193654
Base FinRL,2019,total_cost,10,1176.8456591020108,204.34250538154518,1030.6779923613099,1323.0133258427118,999.5439542376995,1568.735292181492
Base FinRL,2020,period_return,10,0.3373849361038794,0.11671735265549178,0.25389617259894903,0.4208736996088097,0.09575115157633096,0.4991197438770332
Base FinRL,2020,sharpe,10,0.9971842456395134,0.2638513648358196,0.808449462866882,1.1859190284121446,0.43559128847718204,1.3172012539701348
Base FinRL,2020,max_drawdown,10,-0.24174859182593028,0.043075615957634594,-0.2725608903547639,-0.2109362932970967,-0.31402812970163585,-0.187796220636822
Base FinRL,2020,annualized_turnover,10,0.1866498531020436,0.22422159088998203,0.02626253323395414,0.34703717297013303,2.717571535672843e-05,0.6857027841179547
Base FinRL,2020,total_cost,10,228.58636971573827,269.94054968560965,35.49594913694045,421.6767902945361,0.031674958705902104,799.4857286510468
QINN-MPS signal,2019,period_return,10,0.17042820526853092,0.11982937597916452,0.08471338905266532,0.2561430214843965,-0.00328920266993471,0.3195106410256421
QINN-MPS signal,2019,sharpe,10,1.4437716979657664,0.9339245533244558,0.7757287344306054,2.1118146615009277,0.0877464123433737,2.4971585768277293
QINN-MPS signal,2019,max_drawdown,10,-0.10830738157255518,0.07443294842235658,-0.16154980599723573,-0.055064957147874634,-0.24963566418299465,-0.055486057973123004
QINN-MPS signal,2019,annualized_turnover,10,1.2472659740124574,0.3059505163980758,1.028417364730122,1.4661145832947928,0.9822711434605838,1.9728081614755142
QINN-MPS signal,2019,total_cost,10,1284.8181833702088,325.9214657687307,1051.6842100778022,1517.9521566626154,999.1052070121766,2071.5971397099493
QINN-MPS signal,2020,period_return,10,0.335437265681947,0.14511349882786104,0.23163653417655988,0.4392379971873341,0.13810182677601412,0.5531220056350334
QINN-MPS signal,2020,sharpe,10,0.9850268626854843,0.28848144813864224,0.7786740038239817,1.191379721546987,0.53783918163079,1.4749328928486134
QINN-MPS signal,2020,max_drawdown,10,-0.24102368383368936,0.031742530160097156,-0.263729344417054,-0.2183180232503247,-0.31111303214748653,-0.1981023618708294
QINN-MPS signal,2020,annualized_turnover,10,0.26717050456245933,0.3174311186745435,0.04010973773416476,0.4942312713907539,0.033184583075039374,1.0366713159748084
QINN-MPS signal,2020,total_cost,10,315.86849234995844,361.31234127186076,57.41917075767566,574.3178139422412,31.29446096563339,1139.341136918068
