condition,metric,n_seeds,mean,standard_deviation,ci95_lower,ci95_upper,minimum,maximum
ANN signal,total_return,10,-0.057640437412211344,0.21076336126161505,-0.2084009886373015,0.09312011381287882,-0.33183925342986387,0.25118088341585576
ANN signal,annual_return,10,-0.034819480860130994,0.10876977390333077,-0.11262328400758569,0.0429843222873237,-0.1832453113830842,0.11906139761149204
ANN signal,sharpe,10,0.03762671268839498,0.4350745436533718,-0.2735852438516659,0.3488386692284558,-0.455935293666367,0.6845728747068758
ANN signal,sortino,10,0.06151440801985362,0.5786690980746334,-0.35241176814493136,0.47544058418463864,-0.6184459610324653,0.9124561718445969
ANN signal,max_drawdown,10,-0.36006456893431105,0.153595157677155,-0.4699322921396241,-0.250196845728998,-0.6153433713074973,-0.16078139223654242
ANN signal,annualized_turnover,10,0.6767527590891103,0.18894186553890066,0.5416012810161075,0.811904237162113,0.5191918031509728,1.1369426000561897
ANN signal,total_cost,10,1361.8825784173964,416.34650348423446,1064.06692397825,1659.6982328565427,1037.4772561416626,2388.76873037052
Base FinRL,total_return,10,0.05056889331656952,0.198125614373117,-0.09115178648234723,0.19228957311548628,-0.2653766661640454,0.28158506737314104
Base FinRL,annual_return,10,0.020702368903194636,0.10006711604655251,-0.050876360361600335,0.0922810981679896,-0.14342468228483196,0.132630769283147
Base FinRL,sharpe,10,0.2582080604580075,0.36932082893378604,-0.005969790073859449,0.5223859109898744,-0.3134250170518322,0.6409661595734478
Base FinRL,sortino,10,0.36327493390542104,0.4782896279311796,0.021150916141996212,0.7053989516688459,-0.36801521362864753,0.8142009147232395
Base FinRL,max_drawdown,10,-0.33046337998597497,0.15496788252346863,-0.4413130231667136,-0.21961373680523633,-0.5694280228071911,-0.14559961677565736
Base FinRL,annualized_turnover,10,0.617311132374444,0.11742495917541362,0.5333162128262844,0.7013060519226036,0.5225878260201825,0.8865347820667306
Base FinRL,total_cost,10,1253.5313499304773,255.3550393478827,1070.8740500100919,1436.1886498508627,1036.3904066047671,1816.9593770265578
QINN-MPS signal,total_return,10,0.016326488600529588,0.1472230576818177,-0.08898322555611397,0.12163620275717314,-0.2704578909780996,0.22247194355725108
QINN-MPS signal,annual_return,10,0.0056848272746134795,0.07475465750449226,-0.047787717974989236,0.0591573725242162,-0.1464039944188651,0.1060970472528866
QINN-MPS signal,sharpe,10,0.1772887936045965,0.2718162605947067,-0.017143336505220652,0.3717209237144137,-0.2723603529936055,0.5628759815910425
QINN-MPS signal,sortino,10,0.2512711868894488,0.36556238536941654,-0.010218221874736255,0.5127605956536339,-0.31759223319629576,0.8077946874967827
QINN-MPS signal,max_drawdown,10,-0.2924577129103024,0.12317115075291102,-0.38056292470509767,-0.20435250111550715,-0.5951018035103547,-0.16104547402964975
QINN-MPS signal,annualized_turnover,10,0.650760866369317,0.19213366142670837,0.5133262736953539,0.78819545904328,0.4944098414930012,1.1370395377623057
QINN-MPS signal,total_cost,10,1319.6786577329635,397.26203122621956,1035.5142638366156,1603.8430516293115,999.0008299369806,2301.3173076543794
