window,metric,n_matched_seeds,mean_difference,standard_deviation,median_difference,positive_seeds,negative_seeds,zero_seeds,paired_seed_bootstrap_95pct_lower,paired_seed_bootstrap_95pct_upper
2017-2018,sharpe,10,0.08624548076799318,0.16955308662384752,0.020410574512788715,9,1,0,0.0011190756593376478,0.1945001427822182
2017-2018,annual_return,10,0.022533665084900626,0.04748868472308514,0.008028912821822505,9,1,0,-0.0013979303876105642,0.0534190576387299
2017-2018,max_drawdown,10,-0.0068290279242915666,0.025861412607125416,-0.0042557127712238435,5,5,0,-0.022170537109458682,0.008321545246383497
2017-2018,annualized_turnover,10,0.02272625951455077,0.08451240604075642,0.014229116291042676,8,2,0,-0.031627799973565726,0.06718637938702308
2017-2018,total_cost,10,41.232625866866975,202.94067184795196,22.470598045349163,7,3,0,-90.7321951204112,146.77439700879097
2019-2020,sharpe,10,0.09245060462202927,0.17374634400358038,0.10569024713778485,7,3,0,-0.00797943968600691,0.19664266614992684
2019-2020,annual_return,10,0.030741675083894287,0.055402112460874064,0.03154082175739835,8,2,0,-0.0019584310587651794,0.06333205959885314
2019-2020,max_drawdown,10,0.005217363166174829,0.025673445771165943,0.002986962857110545,5,5,0,-0.00907694105973021,0.020556471951009923
2019-2020,annualized_turnover,10,0.003619817956237059,0.17829614031437244,0.0015616211340228614,5,5,0,-0.10884083228760925,0.10237712722740043
2019-2020,total_cost,10,1.9804731619377094,431.0354274885513,-32.80137313997602,4,6,0,-263.2475223598696,247.32000162426948
2021-2022,sharpe,10,0.13966208091620153,0.3441378635418986,0.11978223644954944,6,4,0,-0.06797064464407465,0.3384891338554265
2021-2022,annual_return,10,0.04050430813474444,0.09042731995235881,0.028393166500526403,7,3,0,-0.012164884969776829,0.09446938432054375
2021-2022,max_drawdown,10,0.06760685602400868,0.13439506198586698,0.04291229465432715,6,4,0,-0.0053071110782681435,0.15154393349905684
2021-2022,annualized_turnover,10,-0.025991892719793335,0.13786759667943768,-0.023498781723696238,4,6,0,-0.10707398946388105,0.057777977342736944
2021-2022,total_cost,10,-42.203920684432966,291.1579583378334,-60.820601519584045,3,7,0,-209.2210462320323,134.299517426312
