window,year,seed,metric,ann,mps,mps_minus_ann
2017-2018,2017,0,period_return,0.1272912826741656,0.0943966726178235,-0.03289461005634209
2017-2018,2017,0,sharpe,1.5109015749587509,1.4478148233462635,-0.06308675161248734
2017-2018,2017,0,max_drawdown,-0.0388468469166677,-0.0297212709028935,0.009125576013774197
2017-2018,2017,0,annualized_turnover,1.0067998076079057,0.9974713130654934,-0.009328494542412247
2017-2018,2017,0,total_cost,1020.3154617824556,1016.4416202003956,-3.873841582059981
2017-2018,2018,0,period_return,0.1214104357187684,0.1565934264599737,0.0351829907412053
2017-2018,2018,0,sharpe,0.6684433187015292,0.8168942644013178,0.14845094569978867
2017-2018,2018,0,max_drawdown,-0.2103777142677311,-0.2263951426639586,-0.016017428396227495
2017-2018,2018,0,annualized_turnover,0.0037830404159103,0.2509335226963276,0.24715048228041733
2017-2018,2018,0,total_cost,4.393334957122804,280.3719162156582,275.97858125853537
2017-2018,2017,1,period_return,0.0610904291335492,0.0848003156215788,0.023709886488029602
2017-2018,2017,1,sharpe,1.966594756383244,1.7552211939266291,-0.21137356245661487
2017-2018,2017,1,max_drawdown,-0.0138299281348979,-0.0178099983849464,-0.0039800702500485015
2017-2018,2017,1,annualized_turnover,0.3681662830604092,0.9041286095637164,0.5359623265033072
2017-2018,2017,1,total_cost,370.16483603405953,924.2812688732148,554.1164328391553
2017-2018,2018,1,period_return,-0.023100608867778,0.0357366471046003,0.058837255972378294
2017-2018,2018,1,sharpe,-0.0520931266375855,0.2795016280779733,0.33159475471555877
2017-2018,2018,1,max_drawdown,-0.1880896649410176,-0.1527576567200692,0.0353320082209484
2017-2018,2018,1,annualized_turnover,0.5390086930465386,0.1577715106602432,-0.38123718238629545
2017-2018,2018,1,total_cost,593.9684012765885,171.52882124328613,-422.4395800333023
2017-2018,2017,2,period_return,0.1808367130341579,0.1775989602063068,-0.0032377528278511036
2017-2018,2017,2,sharpe,2.2253767513533638,2.0552774738094164,-0.17009927754394738
2017-2018,2017,2,max_drawdown,-0.0310973899493749,-0.0376269104915452,-0.006529520542170299
2017-2018,2017,2,annualized_turnover,1.0015408200020253,0.9942163033944432,-0.007324516607582043
2017-2018,2017,2,total_cost,1009.143819567442,999.3930599341392,-9.750759633302891
2017-2018,2018,2,period_return,0.0282906012840087,0.0480434659634088,0.019752864679400097
2017-2018,2018,2,sharpe,0.2491222994491052,0.3465586539540769,0.09743635450497173
2017-2018,2018,2,max_drawdown,-0.1978401766242047,-0.2235783761080618,-0.02573819948385711
2017-2018,2018,2,annualized_turnover,0.3586212458188558,0.0158180468834035,-0.3428031989354523
2017-2018,2018,2,total_cost,442.42775378489495,18.94914661717415,-423.4786071677208
2017-2018,2017,3,period_return,0.1539462311581088,0.16990450889914,0.0159582777410312
2017-2018,2017,3,sharpe,2.5419108606327536,2.559711598742081,0.017800738109327252
2017-2018,2017,3,max_drawdown,-0.0196348469606573,-0.0189898668747591,0.0006449800858982016
2017-2018,2017,3,annualized_turnover,1.0018150958086045,0.9885364502170408,-0.013278645591563665
2017-2018,2017,3,total_cost,1043.9353605790138,1021.72729475379,-22.208065825223798
2017-2018,2018,3,period_return,-0.0757740891682474,-0.0848428740919881,-0.009068784923740691
2017-2018,2018,3,sharpe,-0.3106816355022648,-0.3811371556611688,-0.070455520158904
2017-2018,2018,3,max_drawdown,-0.2462795657642471,-0.2431084021993288,0.0031711635649182834
2017-2018,2018,3,annualized_turnover,0.0117477888165241,0.0031422458962027,-0.0086055429203214
2017-2018,2018,3,total_cost,13.75659207391739,3.667683647394181,-10.08890842652321
2017-2018,2017,4,period_return,0.21919582070243,0.1857898631217125,-0.03340595758071749
2017-2018,2017,4,sharpe,2.3600376144625947,2.50174800680757,0.1417103923449754
2017-2018,2017,4,max_drawdown,-0.0448112769974081,-0.0444622260567115,0.00034905094069660053
2017-2018,2017,4,annualized_turnover,1.036620539794482,1.1179947724815436,0.08137423268706145
2017-2018,2017,4,total_cost,1060.1445621302128,1146.5650537362098,86.42049160599709
2017-2018,2018,4,period_return,0.0716916874829411,0.0206522134576221,-0.051039474025319
2017-2018,2018,4,sharpe,0.417128080476665,0.2036899855289498,-0.2134380949477152
2017-2018,2018,4,max_drawdown,-0.2287637295011524,-0.214711141088874,0.014052588412278383
2017-2018,2018,4,annualized_turnover,0.3344496170243626,0.4995350012132199,0.16508538418885732
2017-2018,2018,4,total_cost,458.83924224638935,632.6091942176819,173.76995197129253
2017-2018,2017,5,period_return,0.0428942285895233,0.0790352935990659,0.0361410650095426
2017-2018,2017,5,sharpe,1.315371963980614,0.9096807459154324,-0.4056912180651817
2017-2018,2017,5,max_drawdown,-0.0175962127442382,-0.0560050304141617,-0.0384088176699235
2017-2018,2017,5,annualized_turnover,0.5801752744831832,1.0073310728034552,0.42715579832027206
2017-2018,2017,5,total_cost,587.2941663405896,1047.8634043388367,460.5692379982471
2017-2018,2018,5,period_return,0.0130575652132729,0.2606077529596347,0.24755018774636178
2017-2018,2018,5,sharpe,0.1805847769238024,0.8218559496588771,0.6412711727350747
