window,year,metric,n_matched_seeds,mean_difference,positive_seeds,negative_seeds,zero_seeds,paired_seed_bootstrap_95pct_lower,paired_seed_bootstrap_95pct_upper
2017-2018,2017,annualized_turnover,10,0.11182449990481176,7,3,0,0.011637885291612589,0.24498145148526507
2017-2018,2017,max_drawdown,10,0.0013318119990636096,6,4,0,-0.010102802983153582,0.011808132125652147
2017-2018,2017,period_return,10,-0.004745149674260217,4,6,0,-0.020035617875530726,0.01134601947401259
2017-2018,2017,sharpe,10,-0.12384455795740615,4,6,0,-0.25065180025192985,-0.007580325808000425
2017-2018,2017,total_cost,10,115.61943970830438,7,3,0,9.27508198462958,257.3849946514326
2017-2018,2018,annualized_turnover,10,-0.06681927887532957,5,5,0,-0.2072223697993336,0.06587225583993542
2017-2018,2018,max_drawdown,10,-0.006829027924291883,5,5,0,-0.02178947601653962,0.008050963382983334
2017-2018,2018,period_return,10,0.049676812166865245,7,3,0,0.007784710727972201,0.10097376640481992
2017-2018,2018,sharpe,10,0.15859120820445088,7,3,0,0.01811612567496666,0.3092499941752389
2017-2018,2018,total_cost,10,-74.38681384143831,5,5,0,-241.48005126492623,79.90263920324983
2019-2020,2019,annualized_turnover,10,0.10529597806932142,5,5,0,-0.04999591870442977,0.2647992945970599
2019-2020,2019,max_drawdown,10,0.003208332044468731,5,5,0,-0.02165802566697349,0.03378927680729808
2019-2020,2019,period_return,10,0.024519820739554037,5,5,0,-0.01791733786669175,0.07099188979523387
2019-2020,2019,sharpe,10,0.05776685326264623,6,4,0,-0.1340159320925384,0.25645928928435646
2019-2020,2019,total_cost,10,111.72146329994203,5,5,0,-51.18219235880493,279.3184148795992
2019-2020,2020,annualized_turnover,10,-0.0976687676819191,4,6,0,-0.2950893063754469,0.1040692885691089
2019-2020,2020,max_drawdown,10,0.0034448350610124024,5,5,0,-0.010211117980117188,0.0191229786199871
2019-2020,2020,period_return,10,0.038841198094272375,7,3,0,-0.022331774620616165,0.09509795093210781
2019-2020,2020,sharpe,10,0.08289073036557582,7,3,0,-0.03940809404730431,0.20107040457420486
2019-2020,2020,total_cost,10,-109.7409901380062,4,6,0,-354.36032534707067,138.2380162337863
2021-2022,2021,annualized_turnover,10,-0.0010027578973019313,4,6,0,-0.10298380808538199,0.11824213858022425
2021-2022,2021,max_drawdown,10,0.007199661294883511,5,5,0,-0.003565101864569638,0.018633431171172794
2021-2022,2021,period_return,10,0.04701563013317006,7,3,0,-0.012404028793473848,0.1063711407608363
2021-2022,2021,sharpe,10,0.24529811058631182,6,4,0,-0.13300977831715907,0.6375076011161928
2021-2022,2021,total_cost,10,0.488722686386177,4,6,0,-116.99700966896285,136.36202819968946
2021-2022,2022,annualized_turnover,10,-0.05097703249090113,4,6,0,-0.17507547744097224,0.07186268328300352
2021-2022,2022,max_drawdown,10,0.058840606250036454,6,4,0,-0.008151007631371554,0.13754591743669575
2021-2022,2022,period_return,10,0.03335095164744663,6,4,0,-0.04255392320473883,0.11556399544749071
2021-2022,2022,sharpe,10,0.06459671029941046,6,4,0,-0.1680650228594007,0.3004264621068794
2021-2022,2022,total_cost,10,-42.692643370819084,4,6,0,-160.83238304913758,70.03631584954978
