window,state_family,state,seed,observations,ann_mean_daily_return,mps_mean_daily_return,mps_minus_ann_mean_daily_return,mps_minus_ann_annualized_mean_return,ann_annualized_downside_deviation,mps_annualized_downside_deviation,mps_minus_ann_downside_deviation
2017-2018,benchmark_direction,negative,0,205,-0.006200133151501068,-0.00576513832212063,0.0004349948293804378,0.10961869700387034,0.17735127919485594,0.17466198473815162,-0.002689294456704322
2017-2018,benchmark_direction,negative,1,205,-0.004663903371386023,-0.005009895390034947,-0.00034599201864892284,-0.08718998869952856,0.1406537021951499,0.15468086478633142,0.01402716259118153
2017-2018,benchmark_direction,negative,2,205,-0.005524750486067869,-0.005986968423586668,-0.0004622179375187995,-0.11647892025473747,0.15302515645051581,0.1667846704857286,0.013759514035212778
2017-2018,benchmark_direction,negative,3,205,-0.005455616920634116,-0.005092382788741846,0.00036323413189227167,0.09153500123685246,0.1633593101102697,0.15931237114385455,-0.004046938966415142
2017-2018,benchmark_direction,negative,4,205,-0.006873422409846159,-0.00499480572608542,0.0018786166837607395,0.47341140430770634,0.19174366718271135,0.16561001404420542,-0.026133653138505936
2017-2018,benchmark_direction,negative,5,205,-0.006320569056812438,-0.009528586021637343,-0.0032080169648249037,-0.8084202751358758,0.20502589546607206,0.28088427665262256,0.0758583811865505
2017-2018,benchmark_direction,negative,6,205,-0.00433370851730119,-0.004641766138475609,-0.00030805762117441825,-0.0776305205359534,0.16525290564167494,0.17034439613954722,0.005091490497872275
2017-2018,benchmark_direction,negative,7,205,-0.00579839913213087,-0.005483218887539709,0.00031518024459115937,0.07942542163697217,0.16773882025310294,0.1692844534255494,0.0015456331724464645
2017-2018,benchmark_direction,negative,8,205,-0.006502703554719142,-0.007031166578848114,-0.0005284630241289694,-0.1331726820805003,0.17923047929376817,0.1949225374782768,0.01569205818450864
2017-2018,benchmark_direction,negative,9,205,-0.008783051485044952,-0.00955411078375437,-0.0007710592987094165,-0.19430694327477296,0.24192304944237825,0.27435932502484567,0.03243627558246742
2017-2018,benchmark_direction,nonnegative,0,296,0.005167099901407639,0.00486686170647694,-0.0003002381949306996,-0.0756600251225363,0.016746072468910272,0.018957158755153043,0.00221108628624277
2017-2018,benchmark_direction,nonnegative,1,296,0.0034020819788943206,0.003929616232192149,0.0005275342532978282,0.1329386318310527,0.012940470973730136,0.024568711023719488,0.011628240049989353
2017-2018,benchmark_direction,nonnegative,2,296,0.004542177326615628,0.004927184892502941,0.0003850075658873133,0.09702190660360295,0.016079576933906825,0.014154044000162085,-0.0019255329337447401
