window,state_family,state,observations,n_matched_seeds,mean_mps_minus_ann_annualized_return,median_mps_minus_ann_annualized_return,positive_seeds,negative_seeds,zero_seeds,paired_seed_bootstrap_95pct_lower,paired_seed_bootstrap_95pct_upper,mean_mps_minus_ann_downside_deviation,mean_effect_sign
2017-2018,benchmark_direction,negative,205,10,-0.0663208805795967,-0.08241025461774099,4,6,0,-0.26671938082490976,0.10991239325992869,0.012554062868861422,negative
2017-2018,benchmark_direction,nonnegative,296,10,0.0855875091053432,0.0813109824168289,6,4,0,-0.07727194053758876,0.2777270280890885,0.00513660129400363,positive
2017-2018,benchmark_drawdown,at_or_above_prior_peak,127,10,0.07442777803864269,0.059006570179884824,6,4,0,-0.06372968636735182,0.25167819530062896,0.006633194035001534,positive
2017-2018,benchmark_drawdown,below_prior_peak,374,10,0.006111749640258383,0.012685331385437867,6,4,0,-0.013347791616887162,0.022374084450950477,0.009544492343603602,positive
2017-2018,benchmark_return_tail,bottom_decile,51,10,-0.19467286135720308,-0.09135442683195738,3,7,0,-0.6950191206036336,0.24210867635379654,0.022405479705237125,negative
2017-2018,benchmark_return_tail,middle_80pct,399,10,0.017529409537037265,0.0042320830204832256,6,4,0,-0.006987976205407641,0.04727392027746055,0.0055318333374724995,positive
2017-2018,benchmark_return_tail,top_decile,51,10,0.28769026863340674,0.21555283982229356,7,3,0,-0.20880914619589958,0.8747416023650274,0.0025894336418907935,positive
2017-2018,benchmark_volatility,high,241,10,0.023321524285070897,0.016912905803041334,7,3,0,0.00687275857131995,0.04234954683939365,0.011742229699463135,positive
2017-2018,benchmark_volatility,low,241,10,0.02544213930103794,0.010560901524696437,8,2,0,-0.01778850730250842,0.07849561975106029,0.004219671838812666,positive
2019-2020,benchmark_direction,negative,210,10,-0.0055916029912134345,0.0026306090215452516,5,5,0,-0.15466020552680573,0.13744292905159794,0.001024901515313237,negative
2019-2020,benchmark_direction,nonnegative,295,10,0.04989335460978215,0.054051229693484415,7,3,0,-0.09341658706837426,0.19090594986435835,-0.0010468036708436803,positive
2019-2020,benchmark_drawdown,at_or_above_prior_peak,110,10,0.02908509478697354,0.08946472662558527,7,3,0,-0.15449450973175524,0.18048587578086683,0.0012814853151426977,positive
2019-2020,benchmark_drawdown,below_prior_peak,395,10,0.02618972798775652,0.012244042836858982,7,3,0,0.0006485963816169918,0.05510687385004167,0.0007032448274256142,positive
2019-2020,benchmark_return_tail,bottom_decile,51,10,-0.12850722423533606,0.0356977369142879,5,5,0,-0.4842886633843713,0.1838918507716388,0.006630124856397496,negative
2019-2020,benchmark_return_tail,middle_80pct,403,10,0.03569233948557391,0.04836892795616237,8,2,0,-0.013353440897399515,0.08465018967074901,-0.0038803729453140852,positive
2019-2020,benchmark_return_tail,top_decile,51,10,0.11204232558915232,0.011443258544414067,5,5,0,-0.19973549437141744,0.43152001882662516,-0.0005827004265897814,positive
2019-2020,benchmark_volatility,high,243,10,0.03607057837330095,0.02355519991102627,7,3,0,0.002829341867415592,0.07415012931301657,0.001413956233214725,positive
2019-2020,benchmark_volatility,low,243,10,0.019283944898450485,0.039692409723696025,7,3,0,-0.02192428870103404,0.05645285458178132,-0.0005488157616860584,positive
2021-2022,benchmark_direction,negative,245,10,-0.021455850894808233,-0.06421601363171396,3,7,0,-0.27112119304929677,0.26148486019950284,-0.014418287675469568,negative
2021-2022,benchmark_direction,nonnegative,258,10,0.09940572354769676,0.1567602353878421,6,4,0,-0.09025916905835937,0.266358710584638,-0.010367913440152404,positive
2021-2022,benchmark_drawdown,at_or_above_prior_peak,61,10,0.2814391638654926,0.26595147033832567,9,1,0,0.16824946251251827,0.3820990179586935,-0.014406890901249825,positive
2021-2022,benchmark_drawdown,below_prior_peak,442,10,0.007290054774395263,-0.009846203636342058,4,6,0,-0.05098216602688338,0.0662866337045442,-0.011441434153282201,positive
2021-2022,benchmark_return_tail,bottom_decile,51,10,0.16949403559684212,0.007863558005722276,5,5,0,-0.5771083054587014,1.069925379351161,-0.03609451123047941,positive
2021-2022,benchmark_return_tail,middle_80pct,401,10,0.01657675583098269,0.015889357278074945,6,4,0,-0.019163432357912378,0.052588338793385335,-0.0026229035181098205,positive
2021-2022,benchmark_return_tail,top_decile,51,10,0.09997094710617152,0.11611025970959868,6,4,0,-0.4092367966535987,0.525100301447415,-0.00565819164662291,positive
2021-2022,benchmark_volatility,high,242,10,0.009301671185075395,0.009660731624016296,6,4,0,-0.04132022984456382,0.06222788061404298,-0.011191644751993713,positive
2021-2022,benchmark_volatility,low,242,10,0.07588982034591206,0.07566161205926256,7,3,0,0.013162895735608728,0.14381624196687542,-0.012498023941387689,positive
