condition,seed,year,observations,period_return,annualized_volatility,sharpe,max_drawdown,positive_day_frequency,gross_traded_notional,total_cost,cumulative_turnover,annualized_turnover
ANN signal,0,2017,251,0.12729128267416567,0.08184662446198493,1.5109015749587509,-0.03884684691666773,0.6175298804780877,1020315.4617824554,1020.3154617824556,1.0028045702761283,1.0067998076079057
ANN signal,0,2018,250,0.12141043571876842,0.2039737739349146,0.6684433187015292,-0.2103777142677311,0.572,4393.334957122803,4.3933349571228035,0.003753016285625317,0.0037830404159103197
ANN signal,1,2017,251,0.06109042913354923,0.030510957016279816,1.9665947563832442,-0.013829928134897918,0.5617529880478087,370164.8360340595,370.16483603405953,0.3667053057466775,0.36816628306040927
ANN signal,1,2018,250,-0.023100608867778094,0.17121828143066498,-0.052093126637585536,-0.18808966494101764,0.536,593968.4012765884,593.9684012765885,0.534730846276328,0.5390086930465386
ANN signal,2,2017,251,0.18083671303415794,0.07632001238840436,2.2253767513533633,-0.031097389949374943,0.5737051792828686,1009143.8195674419,1009.1438195674419,0.9975664516686839,1.0015408200020253
ANN signal,2,2018,250,0.028290601284008732,0.17295031349976966,0.24912229944910524,-0.19784017662420472,0.54,442427.75378489494,442.42775378489495,0.35577504545521416,0.35862124581885585
ANN signal,3,2017,251,0.1539462311581088,0.057211511878527105,2.5419108606327536,-0.019634846960657315,0.6055776892430279,1043935.3605790138,1043.9353605790138,0.997839639079205,1.0018150958086043
ANN signal,3,2018,250,-0.07577408916824746,0.19465829807168597,-0.31068163550226485,-0.24627956576424714,0.524,13756.592073917389,13.75659207391739,0.011654552397345426,0.011747788816524189
ANN signal,4,2017,251,0.21919582070243004,0.08590088005003182,2.3600376144625947,-0.04481127699740817,0.5976095617529881,1060144.5621302128,1060.1445621302128,1.032506966223869,1.036620539794482
ANN signal,4,2018,250,0.07169168748294119,0.23144519684417647,0.41712808047666505,-0.22876372950115242,0.528,458839.2422463894,458.83924224638935,0.3317952549844867,0.3344496170243626
ANN signal,5,2017,251,0.0428942285895233,0.03245861969502396,1.315371963980614,-0.017596212744238282,0.5697211155378487,587294.1663405895,587.2941663405896,0.5778729916479324,0.5801752744831832
ANN signal,5,2018,250,0.013057565213272948,0.2611841629432577,0.18058477692380245,-0.29532157787894997,0.516,597112.2571132183,597.1122571132184,0.492729190534561,0.4966710240588375
ANN signal,6,2017,251,0.15480368170689807,0.10077903298384275,1.484766930622005,-0.10674182013404088,0.6175298804780877,1004636.9128293991,1004.6369128293992,0.9797471952234444,0.9836505705032191
ANN signal,6,2018,250,0.046071127893668296,0.1766178621467638,0.34568126565396334,-0.20084747292639582,0.572,14671.055179595947,14.671055179595946,0.012066856971508505,0.012163391827280571
ANN signal,7,2017,251,0.11634380920962273,0.08440467968244733,1.351587127895568,-0.08460287332511784,0.5617529880478087,1037904.4766061306,1037.9044766061306,1.0171422319844161,1.021194591474394
ANN signal,7,2018,250,0.10530803655881527,0.19208813206858238,0.6214643650620963,-0.17171340394219226,0.564,67612.26401901245,67.61226401901246,0.05845817175732635,0.05892583713138497
ANN signal,8,2017,251,0.19390377692384675,0.0863495650725509,2.104349681937988,-0.045761056260040234,0.6055776892430279,1012955.3816804886,1012.9553816804887,0.9916994996406115,0.9956504936630841
ANN signal,8,2018,250,0.029078048940618606,0.20866707865326065,0.24271208516030876,-0.23990771983872738,0.524,1859.5402603149414,1.8595402603149416,0.0013303289174116288,0.0013409715487509217
ANN signal,9,2017,251,0.23169814770336927,0.12367329403130965,1.753805610095706,-0.09457123764081021,0.6294820717131474,1053890.3034143448,1053.8903034143448,1.0242921845154138,1.028373029872049
ANN signal,9,2018,250,0.09588732076886108,0.29610851269760546,0.4594053930082148,-0.3252188257345553,0.504,396646.73230457306,396.64673230457305,0.263018214385041,0.26512236010012136
Base FinRL,0,2017,251,0.22759518874188855,0.10399121367850182,2.0324130826457223,-0.10164082612208081,0.6254980079681275,999068.7177519798,999.0687177519798,0.9870003887980283,0.9909326612633591
Base FinRL,0,2018,250,0.16179830252740168,0.22535818624515214,0.7835826194626709,-0.22460144486409517,0.568,22796.760790109634,22.796760790109637,0.01684350503053801,0.016978253070782313
Base FinRL,1,2017,251,0.21888492839111295,0.13614836216067383,1.5279043564573815,-0.08533035647603848,0.5936254980079682,1001168.4185125828,1001.1684185125828,0.9986082547532856,1.0025867736965257
Base FinRL,1,2018,250,-0.03784990634139074,0.29910645607688224,0.01952188811414179,-0.34708311928173974,0.496,138512.5491142273,138.51254911422728,0.10742215798555119,0.1082815352494356
Base FinRL,2,2017,251,0.07192253812218952,0.045086853408769244,1.569249207393908,-0.039740660042173914,0.549800796812749,881161.1709423065,881.1611709423065,0.8624015159011649,0.865837378514317
Base FinRL,2,2018,250,-0.01640641166304735,0.16248822638033134,-0.021538465837004632,-0.1532201509676958,0.532,216111.50821137428,216.1115082113743,0.20613769273052784,0.20778679427237207
Base FinRL,3,2017,251,0.13979503481500655,0.05957141502095729,2.235532457155497,-0.040701635428399996,0.5617529880478087,1003699.6811103821,1003.6996811103821,0.9865892557635226,0.9905198902486362
Base FinRL,3,2018,250,-0.046228566433548,0.1477968912796578,-0.2489353427808107,-0.1321595155936317,0.524,27347.81918144226,27.34781918144226,0.02460481935743722,0.024801657912296715
Base FinRL,4,2017,251,0.2015608446535262,0.0755689958373334,2.478016979574761,-0.04531205033788388,0.5976095617529881,1027844.0805282593,1027.8440805282594,1.0052325805819966,1.009237491261606
Base FinRL,4,2018,250,0.017217914264617384,0.18833492759003861,0.18559141203997573,-0.21329857871032376,0.596,11832.854132652283,11.832854132652283,0.009346505496957192,0.009421277540932851
Base FinRL,5,2017,251,0.20477715751632553,0.075715066540524,2.5088300957595853,-0.046050758943092185,0.5976095617529881,1007747.6917843819,1007.7476917843819,0.9826704904264841,0.9865855123006932
Base FinRL,5,2018,250,0.03073162634058746,0.19366701503902614,0.2543827945799363,-0.21725471119135586,0.604,1835.9111633300781,1.8359111633300784,0.001422106551224233,0.0014334834036340267
