condition,metric,n_seeds,mean,standard_deviation,ci95_lower,ci95_upper,minimum,maximum
ANN signal,total_return,10,0.19649321434633144,0.10808901881030576,0.11917636022293575,0.2738100684697271,0.036578594156793764,0.3498023830826136
ANN signal,annual_return,10,0.09360450842037227,0.05029574026344889,0.05762760294210265,0.1295814138986419,0.018271355588261873,0.16320477426531443
ANN signal,sharpe,10,0.6274637144159894,0.2647065052613768,0.43811724353419074,0.816810185297788,0.20862663461848882,0.8591531185505128
ANN signal,sortino,10,0.7273520829687845,0.3185128981788673,0.4995175114649542,0.9551866544726149,0.2275431653297597,1.029783242342073
ANN signal,max_drawdown,10,-0.23043598514191768,0.04844161394630476,-0.2650866207033462,-0.19578534958048918,-0.32521882573455496,-0.17171340394219248
ANN signal,annualized_turnover,10,0.55709582110415,0.08396529046730615,0.4970348437177008,0.6171567984905992,0.45432382061959486,0.6876083194890114
ANN signal,total_cost,10,1179.1672454179761,212.4441832889607,1027.204390083495,1331.1301007524573,964.133237310648,1518.9838043766044
Base FinRL,total_return,10,0.22911232532113496,0.17224195531226877,0.10590641338498746,0.35231823725728245,0.054336135690863374,0.6201585722647678
Base FinRL,annual_return,10,0.10728713045901828,0.07558059511392945,0.05322378608507571,0.16135047483296083,0.02702605645559486,0.27531360159027574
Base FinRL,sharpe,10,0.652457738470061,0.26578400070711666,0.46234052733070585,0.8425749496094163,0.2831044085632591,1.1072452156280035
Base FinRL,sortino,10,0.7738689810927855,0.3257426547857164,0.5408629125851716,1.0068750496003993,0.33691937125462496,1.297831699555311
Base FinRL,max_drawdown,10,-0.2149845527289361,0.07633257323143396,-0.269585792469633,-0.16038331298823924,-0.3470831192817394,-0.1321595155936316
Base FinRL,annualized_turnover,10,0.5280069670938923,0.04473348222591181,0.49600878487556527,0.5600051493122192,0.495982668876765,0.6432144678707947
Base FinRL,total_cost,10,1084.6017776638987,128.5089408582016,992.6784061387765,1176.5251491890208,998.9997571978561,1428.978413148879
QINN-MPS signal,total_return,10,0.24544634417893213,0.1012503971759595,0.17302120539468463,0.31787148296317963,0.07064644795096076,0.409659810502067
QINN-MPS signal,annual_return,10,0.11613817350527289,0.04595728288809824,0.0832645978536829,0.14901174915686288,0.03500303801790494,0.18892269252310556
QINN-MPS signal,sharpe,10,0.7137091951839826,0.17520658053593105,0.5883826654600957,0.8390357249078695,0.3153941887310447,0.8568485885362377
QINN-MPS signal,sortino,10,0.8193319112418939,0.20947396484354597,0.6694936745669805,0.9691701479168072,0.35534237042384115,1.0544097403889439
QINN-MPS signal,max_drawdown,10,-0.2372650130662092,0.06613386555620046,-0.2845710437074781,-0.1899589824249403,-0.3574527030183663,-0.15275765672006958
QINN-MPS signal,annualized_turnover,10,0.5798220806187008,0.10276640661822156,0.5063125293549323,0.6533316318824692,0.49781642095705575,0.8110008763923449
QINN-MPS signal,total_cost,10,1220.3998712848434,273.4206214709318,1024.8201302780667,1415.97961229162,1018.3422065513151,1779.1742479538914
