model,epoch,train_huber,validation_huber
ANN,1,0.3433798805293658,0.35876700282096863
ANN,2,0.3253253251064166,0.35420599579811096
ANN,3,0.3245359031306724,0.35366374254226685
ANN,4,0.3244285048027965,0.3537504971027374
ANN,5,0.32421965333273345,0.35390469431877136
ANN,6,0.3242311335715237,0.35486069321632385
ANN,7,0.32412433568347104,0.3541055917739868
ANN,8,0.32403053799738685,0.3544217050075531
ANN,9,0.32396035622550423,0.3545146882534027
ANN,10,0.3240534117232359,0.353831946849823
ANN,11,0.3239688265547321,0.35424235463142395
ANN,12,0.3238133323797853,0.3542158305644989
ANN,13,0.3237869565297436,0.35414963960647583
QINN-MPS,1,0.32601913473464006,0.3522821366786957
QINN-MPS,2,0.3260054432661591,0.3522745668888092
QINN-MPS,3,0.32596381791116913,0.35217776894569397
QINN-MPS,4,0.32575077432407185,0.35181930661201477
QINN-MPS,5,0.3251969292069113,0.35220783948898315
QINN-MPS,6,0.3247798376341266,0.3531738817691803
QINN-MPS,7,0.32463693786272674,0.35399261116981506
QINN-MPS,8,0.32447694438182756,0.35385724902153015
QINN-MPS,9,0.32446834295790716,0.3546055257320404
QINN-MPS,10,0.32459992072966454,0.35423728823661804
QINN-MPS,11,0.32440848969729,0.35463881492614746
QINN-MPS,12,0.3243386924451024,0.35474228858947754
QINN-MPS,13,0.32435183271140716,0.35507825016975403
QINN-MPS,14,0.32426400524890975,0.35465988516807556
